1,Atlético Mineiro - MG,84,38,26,6,6,67,34,33,82,4,73,V V D
2,Flamengo - RJ,71,38,21,8,9,69,36,33,82,4,62,E D D
3,Palmeiras - SP,66,38,20,6,12,58,43,15,87,11,57,V E V
4,Fortaleza - CE,58,38,17,7,14,44,45,-1,95,7,50,V D V
5,Corinthians - SP,57,38,15,12,11,40,36,4,61,3,50,V E D
6,Red Bull Bragantino - SP,56,38,14,14,10,55,46,9,95,3,49,D D V
7,Fluminense - RJ,54,38,15,9,14,38,38,0,91,4,47,D D V
8,America - MG,53,38,13,14,11,41,37,4,66,2,46,V E V
9,Atlético - GO,53,38,13,14,11,33,36,-3,98,7,46,V V V
10,Santos - SP,50,38,12,14,12,35,40,-5,103,4,43,E V E
11,Ceará - CE,50,38,11,17,10,39,38,1,90,5,43,D E D
12,Internacional - RS,48,38,12,12,14,44,42,2,106,11,42,E D D
13,São Paulo - SP,48,38,11,15,12,31,39,-8,100,7,42,D V D
14,Athletico Paranaense - PR,47,38,13,8,17,41,45,-4,90,6,41,V E E
15,Cuiabá - MT,47,38,10,17,11,34,37,-3,84,7,41,D V E
16,Juventude - RS,46,38,11,13,14,36,44,-8,93,4,40,D D V
17,Grêmio - RS,43,38,12,7,19,44,51,-7,110,7,37,V E V
18,Bahia - BA,43,38,11,10,17,42,51,-9,94,5,37,D V D
19,Sport - PE,38,38,9,11,18,24,37,-13,94,5,33,E V E
20,Chapecoense - SC,15,38,1,12,25,27,67,-40,82,10,13,D D D